"Bacteria","Country","Region","Code","Year","R_multi"
"Escherichia coli","Cyprus","Southern","CY",2007,0.0550458715
"Escherichia coli","Czechia","Eastern","CZ",2007,0.0245220282
"Escherichia coli","Germany","Western","DE",2007,0.0216718266
"Escherichia coli","Denmark","Northern","DK",2007,0.0116279069
"Escherichia coli","Estonia","Northern","EE",2007,0.004950495
"Escherichia coli","Greece","Southern","EL",2007,0.0301548492
"Escherichia coli","Spain","Southern","ES",2007,0.0238617663
"Escherichia coli","Finland","Northern","FI",2007,0.0118406889
"Escherichia coli","France","Western","FR",2007,0.0115135834
"Escherichia coli","Croatia","Southern","HR",2007,0.0104651162
"Escherichia coli","Hungary","Eastern","HU",2007,0.0272887323
"Escherichia coli","Ireland","Northern","IE",2007,0.0139049826
"Escherichia coli","Iceland","Northern","IS",2007,0
"Escherichia coli","Italy","Southern","IT",2007,0.0542099192
"Escherichia coli","Lithuania","Northern","LT",2007,0.0301724137
"Escherichia coli","Luxembourg","Western","LU",2007,0.0183823529
"Escherichia coli","Latvia","Northern","LV",2007,0.0526315789
"Escherichia coli","Malta","Southern","MT",2007,0.1025641025
"Escherichia coli","Netherlands","Western","NL",2007,0.0125556905
"Escherichia coli","Norway","Northern","NO",2007,0.0066666666
"Escherichia coli","Poland","Eastern","PL",2007,0.0078125
"Escherichia coli","Portugal","Southern","PT",2007,0.0572289156
"Escherichia coli","Romania","Eastern","RO",2007,0.2068965517
"Escherichia coli","Sweden","Northern","SE",2007,0.0072678331
"Escherichia coli","Slovenia","Southern","SI",2007,0.0235017626
"Escherichia coli","United Kingdom","Northern","UK",2007,0.0395119116
"Escherichia coli","Austria","Western","AT",2008,0.0243654822
"Escherichia coli","Belgium","Western","BE",2008,0.0020242914
"Escherichia coli","Bulgaria","Eastern","BG",2008,0.1986301369
"Escherichia coli","Cyprus","Southern","CY",2008,0.0924369747
"Escherichia coli","Czechia","Eastern","CZ",2008,0.0314327485
"Escherichia coli","Germany","Western","DE",2008,0.0292288557
"Escherichia coli","Denmark","Northern","DK",2008,0.0138605788
"Escherichia coli","Estonia","Northern","EE",2008,0.0041322314
"Escherichia coli","Greece","Southern","EL",2008,0.060857538
"Escherichia coli","Spain","Southern","ES",2008,0.029395452
"Escherichia coli","Finland","Northern","FI",2008,0.0157325467
"Escherichia coli","France","Western","FR",2008,0.0177736202
"Escherichia coli","Croatia","Southern","HR",2008,0.010940919
"Escherichia coli","Hungary","Eastern","HU",2008,0.0653218059
"Escherichia coli","Ireland","Northern","IE",2008,0.0206971677
"Escherichia coli","Iceland","Northern","IS",2008,0.0086956521
"Escherichia coli","Italy","Southern","IT",2008,0.0682414698
"Escherichia coli","Lithuania","Northern","LT",2008,0.0298013245
"Escherichia coli","Luxembourg","Western","LU",2008,0.036423841
"Escherichia coli","Latvia","Northern","LV",2008,0.0888888888
"Escherichia coli","Malta","Southern","MT",2008,0.193548387
"Escherichia coli","Netherlands","Western","NL",2008,0.0152946468
"Escherichia coli","Norway","Northern","NO",2008,0.0084080717
"Escherichia coli","Poland","Eastern","PL",2008,0.0119047619
"Escherichia coli","Portugal","Southern","PT",2008,0.0643086816
"Escherichia coli","Romania","Eastern","RO",2008,0.1875
"Escherichia coli","Sweden","Northern","SE",2008,0.0067095331
"Escherichia coli","Slovenia","Southern","SI",2008,0.0228832951
"Escherichia coli","United Kingdom","Northern","UK",2008,0.0339470655
"Escherichia coli","Austria","Western","AT",2009,0.020545239
"Escherichia coli","Belgium","Western","BE",2009,0.0161702127
"Escherichia coli","Bulgaria","Eastern","BG",2009,0.0684210526
"Escherichia coli","Cyprus","Southern","CY",2009,0.0514705882
"Escherichia coli","Czechia","Eastern","CZ",2009,0.0244704163
"Escherichia coli","Germany","Western","DE",2009,0.0320582877
"Escherichia coli","Denmark","Northern","DK",2009,0.0144267274
"Escherichia coli","Estonia","Northern","EE",2009,0.0066445182
"Escherichia coli","Greece","Southern","EL",2009,0.0643015521
"Escherichia coli","Spain","Southern","ES",2009,0.0438665615
"Escherichia coli","Finland","Northern","FI",2009,0.0146169354
"Escherichia coli","France","Western","FR",2009,0.0297005988
"Escherichia coli","Hungary","Eastern","HU",2009,0.0982658959
"Escherichia coli","Ireland","Northern","IE",2009,0.0232793522
"Escherichia coli","Iceland","Northern","IS",2009,0
"Escherichia coli","Italy","Southern","IT",2009,0.0633561643
"Escherichia coli","Lithuania","Northern","LT",2009,0.0378006872
"Escherichia coli","Luxembourg","Western","LU",2009,0.0431893687
"Escherichia coli","Latvia","Northern","LV",2009,0.0588235294
"Escherichia coli","Malta","Southern","MT",2009,0.1202531645
"Escherichia coli","Netherlands","Western","NL",2009,0.0141267123
"Escherichia coli","Norway","Northern","NO",2009,0.0065681444
"Escherichia coli","Poland","Eastern","PL",2009,0.0137795275
"Escherichia coli","Portugal","Southern","PT",2009,0.0526595744
"Escherichia coli","Romania","Eastern","RO",2009,0.1272727272
"Escherichia coli","Sweden","Northern","SE",2009,0.00868120385195195
"Escherichia coli","Slovenia","Southern","SI",2009,0.0246360582
"Escherichia coli","United Kingdom","Northern","UK",2009,0.0398230088
"Escherichia coli","Austria","Western","AT",2010,0.019070735
"Escherichia coli","Belgium","Western","BE",2010,0.0096030729
"Escherichia coli","Bulgaria","Eastern","BG",2010,0.0743243243
"Escherichia coli","Cyprus","Southern","CY",2010,0.0869565217
"Escherichia coli","Czechia","Eastern","CZ",2010,0.0294358135
"Escherichia coli","Germany","Western","DE",2010,0.035892323
"Escherichia coli","Denmark","Northern","DK",2010,0.0237203495
"Escherichia coli","Estonia","Northern","EE",2010,0.0159362549
"Escherichia coli","Greece","Southern","EL",2010,0.0946944257
"Escherichia coli","Spain","Southern","ES",2010,0.0545997191
"Escherichia coli","Finland","Northern","FI",2010,0.0190064794
"Escherichia coli","France","Western","FR",2010,0.0282253583
"Escherichia coli","Croatia","Southern","HR",2010,0.0252583237
"Escherichia coli","Hungary","Eastern","HU",2010,0.1549192364
"Escherichia coli","Ireland","Northern","IE",2010,0.0284360189
"Escherichia coli","Iceland","Northern","IS",2010,0.0105263157
"Escherichia coli","Italy","Southern","IT",2010,0.1019295302
"Escherichia coli","Lithuania","Northern","LT",2010,0.0543806646
"Escherichia coli","Luxembourg","Western","LU",2010,0.0169491525
"Escherichia coli","Latvia","Northern","LV",2010,0.0618556701
"Escherichia coli","Malta","Southern","MT",2010,0.1354166666
"Escherichia coli","Netherlands","Western","NL",2010,0.0180955206
"Escherichia coli","Norway","Northern","NO",2010,0.0138640429
"Escherichia coli","Poland","Eastern","PL",2010,0.0293637846
"Escherichia coli","Portugal","Southern","PT",2010,0.0648050579
"Escherichia coli","Romania","Eastern","RO",2010,0.0625
"Escherichia coli","Sweden","Northern","SE",2010,0.011826544
"Escherichia coli","Slovenia","Southern","SI",2010,0.037815126
"Escherichia coli","United Kingdom","Northern","UK",2010,0.0398377862
"Escherichia coli","Austria","Western","AT",2011,0.0247191011
"Escherichia coli","Belgium","Western","BE",2011,0.0161346895
"Escherichia coli","Bulgaria","Eastern","BG",2011,0.1022727272
"Escherichia coli","Cyprus","Southern","CY",2011,0.1751824817
"Escherichia coli","Czechia","Eastern","CZ",2011,0.0329958755
"Escherichia coli","Germany","Western","DE",2011,0.0355274029
"Escherichia coli","Denmark","Northern","DK",2011,0.0300514037
"Escherichia coli","Estonia","Northern","EE",2011,0.0113636363
"Escherichia coli","Greece","Southern","EL",2011,0.108315863
"Escherichia coli","Spain","Southern","ES",2011,0.049159814
"Escherichia coli","Finland","Northern","FI",2011,0.024834437
"Escherichia coli","France","Western","FR",2011,0.0257475083
"Escherichia coli","Croatia","Southern","HR",2011,0.0234291799
"Escherichia coli","Hungary","Eastern","HU",2011,0.0819536423
"Escherichia coli","Ireland","Northern","IE",2011,0.0354312354
"Escherichia coli","Iceland","Northern","IS",2011,0.0083333333
"Escherichia coli","Italy","Southern","IT",2011,0.1140463917
"Escherichia coli","Lithuania","Northern","LT",2011,0.0238095238
"Escherichia coli","Luxembourg","Western","LU",2011,0.0283286118
"Escherichia coli","Latvia","Northern","LV",2011,0.0846153846
"Escherichia coli","Malta","Southern","MT",2011,0.0913242009
"Escherichia coli","Netherlands","Western","NL",2011,0.0220454545
"Escherichia coli","Norway","Northern","NO",2011,0.0123948649
"Escherichia coli","Poland","Eastern","PL",2011,0.0374269005
"Escherichia coli","Portugal","Southern","PT",2011,0.0719196192
"Escherichia coli","Romania","Eastern","RO",2011,0.1
"Escherichia coli","Sweden","Northern","SE",2011,0.0141570141
"Escherichia coli","Slovenia","Southern","SI",2011,0.0389221556
"Escherichia coli","United Kingdom","Northern","UK",2011,0.0355644355
"Escherichia coli","Austria","Western","AT",2012,0.0232297788
"Escherichia coli","Belgium","Western","BE",2012,0.0196797865
"Escherichia coli","Bulgaria","Eastern","BG",2012,0.1598173515
"Escherichia coli","Cyprus","Southern","CY",2012,0.1477272727
"Escherichia coli","Czechia","Eastern","CZ",2012,0.0434318262
"Escherichia coli","Germany","Western","DE",2012,0.0318257956
"Escherichia coli","Denmark","Northern","DK",2012,0.0262582056
"Escherichia coli","Estonia","Northern","EE",2012,0.0166112956
"Escherichia coli","Greece","Southern","EL",2012,0.1067251461
"Escherichia coli","Spain","Southern","ES",2012,0.0583967439
"Escherichia coli","Finland","Northern","FI",2012,0.0314066154
"Escherichia coli","France","Western","FR",2012,0.0334217506
"Escherichia coli","Croatia","Southern","HR",2012,0.027118644
"Escherichia coli","Hungary","Eastern","HU",2012,0.1056439942
"Escherichia coli","Ireland","Northern","IE",2012,0.0363716038
"Escherichia coli","Iceland","Northern","IS",2012,0.0149253731
"Escherichia coli","Italy","Southern","IT",2012,0.1432320959
"Escherichia coli","Lithuania","Northern","LT",2012,0.013215859
"Escherichia coli","Luxembourg","Western","LU",2012,0.0269461077
"Escherichia coli","Latvia","Northern","LV",2012,0.0657894736
"Escherichia coli","Malta","Southern","MT",2012,0.0622009569
"Escherichia coli","Netherlands","Western","NL",2012,0.0177540106
"Escherichia coli","Norway","Northern","NO",2012,0.0194003527
"Escherichia coli","Poland","Eastern","PL",2012,0.0606060606
"Escherichia coli","Portugal","Southern","PT",2012,0.0915853091
"Escherichia coli","Romania","Eastern","RO",2012,0.156424581
"Escherichia coli","Sweden","Northern","SE",2012,0.0177087097
"Escherichia coli","Slovenia","Southern","SI",2012,0.0496575342
"Escherichia coli","United Kingdom","Northern","UK",2012,0.0419580419
"Escherichia coli","Austria","Western","AT",2013,0.0312353217
"Escherichia coli","Belgium","Western","BE",2013,0.0267686424
"Escherichia coli","Bulgaria","Eastern","BG",2013,0.1871657754
"Escherichia coli","Cyprus","Southern","CY",2013,0.2037037037
"Escherichia coli","Czechia","Eastern","CZ",2013,0.0494412461
"Escherichia coli","Germany","Western","DE",2013,0.0266944339
"Escherichia coli","Denmark","Northern","DK",2013,0.022297013
"Escherichia coli","Estonia","Northern","EE",2013,0.0328358208
"Escherichia coli","Greece","Southern","EL",2013,0.1029173419
"Escherichia coli","Spain","Southern","ES",2013,0.0584360749
"Escherichia coli","Finland","Northern","FI",2013,0.0318194966
"Escherichia coli","France","Western","FR",2013,0.0323798172
"Escherichia coli","Croatia","Southern","HR",2013,0.034895314
"Escherichia coli","Hungary","Eastern","HU",2013,0.1100141043
"Escherichia coli","Ireland","Northern","IE",2013,0.0468308437
"Escherichia coli","Iceland","Northern","IS",2013,0.0086206896
"Escherichia coli","Italy","Southern","IT",2013,0.1245972073
"Escherichia coli","Lithuania","Northern","LT",2013,0.0186915887
"Escherichia coli","Luxembourg","Western","LU",2013,0.0212014134
"Escherichia coli","Latvia","Northern","LV",2013,0.0378787878
"Escherichia coli","Malta","Southern","MT",2013,0.0495867768
"Escherichia coli","Netherlands","Western","NL",2013,0.0188479457
"Escherichia coli","Norway","Northern","NO",2013,0.0249074385
"Escherichia coli","Poland","Eastern","PL",2013,0.0501022494
"Escherichia coli","Portugal","Southern","PT",2013,0.0814648729
"Escherichia coli","Romania","Eastern","RO",2013,0.0924657534
"Escherichia coli","Sweden","Northern","SE",2013,0.0204398082
"Escherichia coli","Slovenia","Southern","SI",2013,0.0449346405
"Escherichia coli","United Kingdom","Northern","UK",2013,0.0436113236
"Escherichia coli","Austria","Western","AT",2014,0.0260360164
"Escherichia coli","Belgium","Western","BE",2014,0.0391198044
"Escherichia coli","Bulgaria","Eastern","BG",2014,0.2021276595
"Escherichia coli","Cyprus","Southern","CY",2014,0.1307189542
"Escherichia coli","Czechia","Eastern","CZ",2014,0.063844086
"Escherichia coli","Germany","Western","DE",2014,0.0302046118
"Escherichia coli","Denmark","Northern","DK",2014,0.018610985
"Escherichia coli","Estonia","Northern","EE",2014,0.0346534653
"Escherichia coli","Greece","Southern","EL",2014,0.1070780399
"Escherichia coli","Spain","Southern","ES",2014,0.0529755761
"Escherichia coli","Finland","Northern","FI",2014,0.022181146
"Escherichia coli","France","Western","FR",2014,0.0347606563
"Escherichia coli","Croatia","Southern","HR",2014,0.0598130841
"Escherichia coli","Hungary","Eastern","HU",2014,0.0819262038
"Escherichia coli","Ireland","Northern","IE",2014,0.0468575678
"Escherichia coli","Iceland","Northern","IS",2014,0.0141843971
"Escherichia coli","Italy","Southern","IT",2014,0.1365227537
"Escherichia coli","Lithuania","Northern","LT",2014,0.0257731958
"Escherichia coli","Luxembourg","Western","LU",2014,0.0381471389
"Escherichia coli","Latvia","Northern","LV",2014,0.0245398773
"Escherichia coli","Malta","Southern","MT",2014,0.0671641791
"Escherichia coli","Netherlands","Western","NL",2014,0.0214785992
"Escherichia coli","Norway","Northern","NO",2014,0.0196308233
"Escherichia coli","Poland","Eastern","PL",2014,0.0555555555
"Escherichia coli","Portugal","Southern","PT",2014,0.0817799158
"Escherichia coli","Romania","Eastern","RO",2014,0.144295302
"Escherichia coli","Sweden","Northern","SE",2014,0.0202236497
"Escherichia coli","Slovenia","Southern","SI",2014,0.0707236842
"Escherichia coli","United Kingdom","Northern","UK",2014,0.0437732191
"Escherichia coli","Austria","Western","AT",2015,0.0292580982
"Escherichia coli","Belgium","Western","BE",2015,0.0345733041
"Escherichia coli","Bulgaria","Eastern","BG",2015,0.1263736263
"Escherichia coli","Cyprus","Southern","CY",2015,0.0975609756
"Escherichia coli","Czechia","Eastern","CZ",2015,0.0685624012
"Escherichia coli","Germany","Western","DE",2015,0.0298457783
"Escherichia coli","Denmark","Northern","DK",2015,0.0251600088
"Escherichia coli","Estonia","Northern","EE",2015,0.0515021459
"Escherichia coli","Greece","Southern","EL",2015,0.1069924178
"Escherichia coli","Spain","Southern","ES",2015,0.0550187032
"Escherichia coli","Finland","Northern","FI",2015,0.0260784791
"Escherichia coli","France","Western","FR",2015,0.0387695668
"Escherichia coli","Croatia","Southern","HR",2015,0.069
"Escherichia coli","Hungary","Eastern","HU",2015,0.0665012406
"Escherichia coli","Ireland","Northern","IE",2015,0.0541777947
"Escherichia coli","Iceland","Northern","IS",2015,0
"Escherichia coli","Italy","Southern","IT",2015,0.1458526628
"Escherichia coli","Lithuania","Northern","LT",2015,0.0430292598
"Escherichia coli","Luxembourg","Western","LU",2015,0.0518731988
"Escherichia coli","Latvia","Northern","LV",2015,0.1047120418
"Escherichia coli","Malta","Southern","MT",2015,0.0714285714
"Escherichia coli","Netherlands","Western","NL",2015,0.0197135949
"Escherichia coli","Norway","Northern","NO",2015,0.0191024863
"Escherichia coli","Poland","Eastern","PL",2015,0.0607049608
"Escherichia coli","Portugal","Southern","PT",2015,0.0760342899
"Escherichia coli","Romania","Eastern","RO",2015,0.1346153846
"Escherichia coli","Sweden","Northern","SE",2015,0.0245387102
"Escherichia coli","Slovenia","Southern","SI",2015,0.0807547169
"Escherichia coli","United Kingdom","Northern","UK",2015,0.0451260011
"Escherichia coli","Austria","Western","AT",2016,0.035148042
"Escherichia coli","Belgium","Western","BE",2016,0.0380434782
"Escherichia coli","Bulgaria","Eastern","BG",2016,0.2205882352
"Escherichia coli","Cyprus","Southern","CY",2016,0.1140939597
"Escherichia coli","Czechia","Eastern","CZ",2016,0.079059131
"Escherichia coli","Germany","Western","DE",2016,0.0337976841
"Escherichia coli","Denmark","Northern","DK",2016,0.0176724137
"Escherichia coli","Estonia","Northern","EE",2016,0.0401146131
"Escherichia coli","Greece","Southern","EL",2016,0.1038461538
"Escherichia coli","Spain","Southern","ES",2016,0.0619938153
"Escherichia coli","Finland","Northern","FI",2016,0.0238201246
"Escherichia coli","France","Western","FR",2016,0.0382602418
"Escherichia coli","Croatia","Southern","HR",2016,0.0938416422
"Escherichia coli","Hungary","Eastern","HU",2016,0.0636042402
"Escherichia coli","Ireland","Northern","IE",2016,0.0532841823
"Escherichia coli","Iceland","Northern","IS",2016,0.011235955
"Escherichia coli","Italy","Southern","IT",2016,0.1290994273
"Escherichia coli","Lithuania","Northern","LT",2016,0.0255427841
"Escherichia coli","Luxembourg","Western","LU",2016,0.0382775119
"Escherichia coli","Latvia","Northern","LV",2016,0.1033057851
"Escherichia coli","Malta","Southern","MT",2016,0.0548780487
"Escherichia coli","Netherlands","Western","NL",2016,0.022670419
"Escherichia coli","Norway","Northern","NO",2016,0.0193959545
"Escherichia coli","Poland","Eastern","PL",2016,0.0850269597
"Escherichia coli","Portugal","Southern","PT",2016,0.0767094758
"Escherichia coli","Romania","Eastern","RO",2016,0.1170731707
"Escherichia coli","Sweden","Northern","SE",2016,0.0312725176
"Escherichia coli","Slovenia","Southern","SI",2016,0.0690140845
"Escherichia coli","United Kingdom","Northern","UK",2016,0.0400928865
"Escherichia coli","Austria","Western","AT",2017,0.0327351607
"Escherichia coli","Belgium","Western","BE",2017,0.0347941567
"Escherichia coli","Bulgaria","Eastern","BG",2017,0.2489082969
"Escherichia coli","Cyprus","Southern","CY",2017,0.1538461538
"Escherichia coli","Czechia","Eastern","CZ",2017,0.0625195373
"Escherichia coli","Germany","Western","DE",2017,0.037437678
"Escherichia coli","Denmark","Northern","DK",2017,0.0184312922
"Escherichia coli","Estonia","Northern","EE",2017,0.0371794871
"Escherichia coli","Greece","Southern","EL",2017,0.0984278879
"Escherichia coli","Spain","Southern","ES",2017,0.0547280914
"Escherichia coli","Finland","Northern","FI",2017,0.0243411788
"Escherichia coli","France","Western","FR",2017,0.0303727565
"Escherichia coli","Croatia","Southern","HR",2017,0.0935569285
"Escherichia coli","Hungary","Eastern","HU",2017,0.0820713238
"Escherichia coli","Ireland","Northern","IE",2017,0.0571245186
"Escherichia coli","Iceland","Northern","IS",2017,0.0150753768
"Escherichia coli","Italy","Southern","IT",2017,0.1368143786
"Escherichia coli","Lithuania","Northern","LT",2017,0.0437869822
"Escherichia coli","Luxembourg","Western","LU",2017,0.0346420323
"Escherichia coli","Latvia","Northern","LV",2017,0.0476190476
"Escherichia coli","Malta","Southern","MT",2017,0.0636942675
"Escherichia coli","Netherlands","Western","NL",2017,0.0188594521
"Escherichia coli","Norway","Northern","NO",2017,0.0238669884
"Escherichia coli","Poland","Eastern","PL",2017,0.081632653
"Escherichia coli","Portugal","Southern","PT",2017,0.0659858601
"Escherichia coli","Romania","Eastern","RO",2017,0.0974658869
"Escherichia coli","Sweden","Northern","SE",2017,0.0201879568
"Escherichia coli","Slovenia","Southern","SI",2017,0.0629067245
"Escherichia coli","United Kingdom","Northern","UK",2017,0.0411817367
"Escherichia coli","Austria","Western","AT",2018,0.0364415862
"Escherichia coli","Belgium","Western","BE",2018,0.0307167235
"Escherichia coli","Bulgaria","Eastern","BG",2018,0.1963636363
"Escherichia coli","Cyprus","Southern","CY",2018,0.1456953642
"Escherichia coli","Czechia","Eastern","CZ",2018,0.0626717976
"Escherichia coli","Germany","Western","DE",2018,0.0339527735
"Escherichia coli","Denmark","Northern","DK",2018,0.0202940567
"Escherichia coli","Estonia","Northern","EE",2018,0.0301932367
"Escherichia coli","Greece","Southern","EL",2018,0.0976658476
"Escherichia coli","Spain","Southern","ES",2018,0.0638325875
"Escherichia coli","Finland","Northern","FI",2018,0.0204251771
"Escherichia coli","France","Western","FR",2018,0.0351862558
"Escherichia coli","Croatia","Southern","HR",2018,0.092173913
"Escherichia coli","Hungary","Eastern","HU",2018,0.1144631765
"Escherichia coli","Ireland","Northern","IE",2018,0.0612055641
"Escherichia coli","Iceland","Northern","IS",2018,0.0209424083
"Escherichia coli","Italy","Southern","IT",2018,0.1140058891
"Escherichia coli","Lithuania","Northern","LT",2018,0.0455373406
"Escherichia coli","Luxembourg","Western","LU",2018,0.0383693045
"Escherichia coli","Latvia","Northern","LV",2018,0.0697674418
"Escherichia coli","Malta","Southern","MT",2018,0.0451807228
"Escherichia coli","Netherlands","Western","NL",2018,0.0214010557
"Escherichia coli","Norway","Northern","NO",2018,0.020123839
"Escherichia coli","Poland","Eastern","PL",2018,0.1051969823
"Escherichia coli","Portugal","Southern","PT",2018,0.0619561434
"Escherichia coli","Romania","Eastern","RO",2018,0.0717628705
"Escherichia coli","Sweden","Northern","SE",2018,0.0307377049
"Escherichia coli","United Kingdom","Northern","UK",2018,0.0445669404
"Klebsiella pneumoniae","Austria","Western","AT",2006,0.0209790209
"Klebsiella pneumoniae","Bulgaria","Eastern","BG",2006,0.2181818181
"Klebsiella pneumoniae","Cyprus","Southern","CY",2006,0.1153846153
"Klebsiella pneumoniae","Czechia","Eastern","CZ",2006,0.2028343666
"Klebsiella pneumoniae","Germany","Western","DE",2006,0.0479452054
"Klebsiella pneumoniae","Denmark","Northern","DK",2006,0.0074812967
"Klebsiella pneumoniae","Estonia","Northern","EE",2006,0.025
"Klebsiella pneumoniae","Greece","Southern","EL",2006,0.3607142857
"Klebsiella pneumoniae","Spain","Southern","ES",2006,0.0106951871
"Klebsiella pneumoniae","Finland","Northern","FI",2006,0.009009009
"Klebsiella pneumoniae","France","Western","FR",2006,0.0383795309
"Klebsiella pneumoniae","Croatia","Southern","HR",2006,0.1724137931
"Klebsiella pneumoniae","Hungary","Eastern","HU",2006,0.106617647
"Klebsiella pneumoniae","Ireland","Northern","IE",2006,0.0157068062
"Klebsiella pneumoniae","Iceland","Northern","IS",2006,0
"Klebsiella pneumoniae","Italy","Southern","IT",2006,0.1704918032
"Klebsiella pneumoniae","Lithuania","Northern","LT",2006,0.0285714285
"Klebsiella pneumoniae","Luxembourg","Western","LU",2006,0
"Klebsiella pneumoniae","Latvia","Northern","LV",2006,0.074074074
"Klebsiella pneumoniae","Malta","Southern","MT",2006,0
"Klebsiella pneumoniae","Netherlands","Western","NL",2006,0.0103359173
"Klebsiella pneumoniae","Norway","Northern","NO",2006,0
"Klebsiella pneumoniae","Poland","Eastern","PL",2006,0.238095238
"Klebsiella pneumoniae","Portugal","Southern","PT",2006,0.0838926174
"Klebsiella pneumoniae","Romania","Eastern","RO",2006,0.28
"Klebsiella pneumoniae","Sweden","Northern","SE",2006,0
"Klebsiella pneumoniae","Slovenia","Southern","SI",2006,0.1448275862
"Klebsiella pneumoniae","United Kingdom","Northern","UK",2006,0.0780141843
"Klebsiella pneumoniae","Austria","Western","AT",2007,0.0431818181
"Klebsiella pneumoniae","Bulgaria","Eastern","BG",2007,0.3448275862
"Klebsiella pneumoniae","Cyprus","Southern","CY",2007,0.1025641025
"Klebsiella pneumoniae","Czechia","Eastern","CZ",2007,0.2869918699
"Klebsiella pneumoniae","Germany","Western","DE",2007,0.0289017341
"Klebsiella pneumoniae","Denmark","Northern","DK",2007,0.0579710144
"Klebsiella pneumoniae","Estonia","Northern","EE",2007,0
"Klebsiella pneumoniae","Greece","Southern","EL",2007,0.4132231404
"Klebsiella pneumoniae","Spain","Southern","ES",2007,0.0539215686
"Klebsiella pneumoniae","Finland","Northern","FI",2007,0.0038022813
"Klebsiella pneumoniae","France","Western","FR",2007,0.087979094
"Klebsiella pneumoniae","Croatia","Southern","HR",2007,0.2909090909
"Klebsiella pneumoniae","Hungary","Eastern","HU",2007,0.1847133757
"Klebsiella pneumoniae","Ireland","Northern","IE",2007,0.03930131
"Klebsiella pneumoniae","Iceland","Northern","IS",2007,0
"Klebsiella pneumoniae","Italy","Southern","IT",2007,0.1791907514
"Klebsiella pneumoniae","Lithuania","Northern","LT",2007,0.0256410256
"Klebsiella pneumoniae","Luxembourg","Western","LU",2007,0
"Klebsiella pneumoniae","Latvia","Northern","LV",2007,0.0769230769
"Klebsiella pneumoniae","Malta","Southern","MT",2007,0
"Klebsiella pneumoniae","Netherlands","Western","NL",2007,0.0267639902
"Klebsiella pneumoniae","Norway","Northern","NO",2007,0
"Klebsiella pneumoniae","Poland","Eastern","PL",2007,0
"Klebsiella pneumoniae","Portugal","Southern","PT",2007,0.0699708454
"Klebsiella pneumoniae","Romania","Eastern","RO",2007,0.2413793103
"Klebsiella pneumoniae","Sweden","Northern","SE",2007,0.00310559
"Klebsiella pneumoniae","Slovenia","Southern","SI",2007,0.1705882352
"Klebsiella pneumoniae","United Kingdom","Northern","UK",2007,0.0668789808
"Klebsiella pneumoniae","Austria","Western","AT",2008,0.0379965457
"Klebsiella pneumoniae","Bulgaria","Eastern","BG",2008,0.4375
"Klebsiella pneumoniae","Cyprus","Southern","CY",2008,0.1129032258
"Klebsiella pneumoniae","Czechia","Eastern","CZ",2008,0.3079514824
"Klebsiella pneumoniae","Germany","Western","DE",2008,0.0723404255
"Klebsiella pneumoniae","Denmark","Northern","DK",2008,0.0455284552
"Klebsiella pneumoniae","Estonia","Northern","EE",2008,0.0175438596
"Klebsiella pneumoniae","Greece","Southern","EL",2008,0.487300094
"Klebsiella pneumoniae","Spain","Southern","ES",2008,0.0423197492
"Klebsiella pneumoniae","Finland","Northern","FI",2008,0.0107142857
"Klebsiella pneumoniae","France","Western","FR",2008,0.133014354
"Klebsiella pneumoniae","Croatia","Southern","HR",2008,0.38170347
"Klebsiella pneumoniae","Hungary","Eastern","HU",2008,0.2712328767
